Event Date	Event	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Subscription Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In	Marketing Opt-In Duration	Preserved Pricing	Proceeds Reason	Consecutive Paid Periods	Original Start Date	Client	Device	State	Country	Previous Subscription Name	Previous Subscription Apple ID	Days Before Canceling	Cancellation Reason	Days Canceled	Quantity	Paid Service Days Recovered
2026-04-01	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			8	2025-08-01		iPhone	 	NL		 	 	 	 	1	 
2026-03-31	Reactivate	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 				 			1	2026-03-31		iPhone	 	GB		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			5	2025-10-31		iPhone	 	SE		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			10	2025-05-31		iPhone	 	NL		 	 	 	 	1	 
2026-03-31	Paid Subscription from Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year	 	 	Free Trial	2 Weeks		 			1	2026-03-17		iPhone	 	FI		 	 	 	 	5	 
2026-03-31	Start Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 	Free Trial	1 Month		 			0	2026-03-31		iPhone	 	FI		 	 	 	 	2	 
2026-03-31	Paid Subscription from Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month	 	 	Free Trial	2 Weeks		 			1	2026-03-17		iPhone	 	SK		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			10	2025-05-31		iPhone	 	CZ		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			5	2025-10-31		iPhone	 	FI		 	 	 	 	1	 
2026-03-31	Paid Subscription from Introductory Offer	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year	 	 	Free Trial	2 Weeks		 			1	2026-03-17		iPhone	 	SE		 	 	 	 	1	 
2026-03-31	Renew	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month	 	 				 			8	2025-07-31		iPhone	 	FI		 	 	 	 	1	 
